_id,text,created_at
674f2f665e8c5f1843d997e2,"@ink_decks 🇩🇪=Germany, 🇧🇪=Belgium 😉",
674f2f665e8c5f1843d997e3,"RT @otienowill: 1. Germany- Public universities offer free tuition for both domestic and international students.

2. Norway - Education is…",
674f2f665e8c5f1843d997e4,"RT @AdameMedia: 🇨🇳🇩🇪Foreign Minister Baerbock arrives in China, pisses them off, and is coldly dismissed.

The joint press conference was c…",
674f2f665e8c5f1843d997e5,RT @AndersonAfDMdEP: 🇬🇧|The @EU_Commission is taking action against #Germany and 22 other #EU states for failing to implement the NIS2 and…,
674f2f665e8c5f1843d997e6,RT @RudyDrischel: @andrewmichta The totalitarians lost the Cold War. Communist China became powerful with the help of the West. Now they st…,
674f2f675e8c5f1843d997e7,RT @CrazyCatComrade: Make Germany Great Again https://t.co/3tXC9I9UKw,
674f2f675e8c5f1843d997e8,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f675e8c5f1843d997e9,"@GuidoBoelke2102 @ousmannoor @GermanyDiplo @UN The Germans deliver the bombs to israel. Germany supports israeli occupations of WestBank and Golan. Germany supports israeli nazi practices since decades. Germany, the expert in ethnic cleansings and war crimes, the Naziland. 800.000 German war criminals walked free after WW2",
674f2f675e8c5f1843d997ea,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f675e8c5f1843d997eb,"RT @otienowill: 1. Germany- Public universities offer free tuition for both domestic and international students.

2. Norway - Education is…",
674f2f675e8c5f1843d997ec,"RT @subyroy: @MichaelAArouet West Germany was a rare major economy 40-50 years ago with a Balance of Payments surplus, not deficit like eve…",
674f2f675e8c5f1843d997ed,RT @CrazyCatComrade: Make Germany Great Again https://t.co/3tXC9I9UKw,
674f2f685e8c5f1843d997ee,"RT @VoiceKurdistan_: The Left Party criticises the fact that Germany, the German government and the media speak of rebels in Aleppo. In add…",
674f2f685e8c5f1843d997ef,RT @tolly_UK_US_EU: #Pushpa2 Germany Bookings on RAMPAGE mode🔥🔥🔥🔥,
674f2f685e8c5f1843d997f0,"Brasil used to print their money,  Germany also did it. But the notes where so invaluable that the shipping costs more than the value. https://t.co/DFKPbpGVmI",
674f2f685e8c5f1843d997f1,"RT @realMaalouf: During a graduation ceremony in Germany, a Muslim woman refused to shake hands with the dean.

Shaking hands is ‘haram’, b…",
674f2f685e8c5f1843d997f2,"RT @RadioGenoa: ""They tell me to go to Iran, Syria or Afghanistan, but I am German. I only care about Allah and I will stay in Germany!"" An…",
674f2f685e8c5f1843d997f3,"RT @RadioGenoa: ""Don't bother me, I have to pray to Allah!"" A Muslim in Germany blocks highway to pray to Allah. Does this seem normal to y…",
674f2f685e8c5f1843d997f4,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f695e8c5f1843d997f5,"RT @collarte: @ressemblanch Is this Germany February 2025? 

Is this Scholz with Russian money accusing AfD of Putinists?",
674f2f695e8c5f1843d997f6,RT @sanjeevsanyal: Germany 1938,
674f2f695e8c5f1843d997f7,"@RealPeterLeo They have a council that determines language rules and stuff I think.

Germany is similar, they standardized their language not too long ago in history because of the all the different conflicting dialects and stuff.",
674f2f695e8c5f1843d997f8,@AblotiaLucas Im from germany🇩🇪 and im with every Georgian. You guys are heroes. Without people like you and the ukrainians.... Russland would eat europe,
674f2f695e8c5f1843d997f9,"Frames from the [Germany, Belgium, Holland] tour https://t.co/tmaE4efn1K",
674f2f695e8c5f1843d997fa,"RT @jurgen_nauditt: The US, Germany, Hungary, Slovakia, Belgium, Slovenia and Spain reject Ukraine's invitation to NATO, - Le Monde
Biden r…",
674f2f6a5e8c5f1843d997fb,"XRP PROPHECIES, CANADA’S PRIME MINISTER, GERMANY, BILL GATES, SHOCKING GLOBAL CHANGE &amp; JUDGEMENT!! https://t.co/9sAfdDgEr4",
674f2f6a5e8c5f1843d997fc,RT @GBriereGiroux: @MichaelAArouet Germany was ruined by the vision of the anointed. https://t.co/YHkOWdpP16,
674f2f6a5e8c5f1843d997fd,"RT @_mm85: Democracies in 2024:

🇺🇦 Ukraine - no elections
🇰🇷 South Korea - Martial Law
🇺🇸 USA - Richest Man in the world buys the election…",
674f2f6a5e8c5f1843d997fe,"@Exatlon_Germany Sehe es gerade,gebe dir recht. Stutzky  labert wieder durch,er ist der einzigeModerator der gleichzeitig in Gebärdensprache moderieren kann. Dregold der Intrigant stichelt immer von hinten .",
674f2f6a5e8c5f1843d997ff,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f6a5e8c5f1843d99800,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f6a5e8c5f1843d99801,"RT @Klitschko: My brother @Vitaliy_Klychko is my best friend and my best colleague. It's a great pleasure to work alongside him, defending…",
674f2f6b5e8c5f1843d99802,"@briantylercohen @joncoopertweets @marceelias Fear is the number one tool in the authoritarian playbook. See also Hitler's Germany, Stalin's Soviet Union, Mao's China, North Korea for the last 75 years.",
674f2f6b5e8c5f1843d99803,@infoAzzurri @CFC_dennoh I think germany are the only ones who did it,
674f2f6b5e8c5f1843d99804,"These crops grow in Germany – six-year analysis @DLR_en #satellitedata #earthobservation #agriculture
https://t.co/mWifYbzUaH https://t.co/OG5RnmZ8n0",
674f2f6b5e8c5f1843d99805,RT @AndersonAfDMdEP: 🇬🇧|The @EU_Commission is taking action against #Germany and 22 other #EU states for failing to implement the NIS2 and…,
674f2f6b5e8c5f1843d99806,"@ne_vluchiv @TrueSlazac It’s counterproductive to respond to this propaganda x but anyways 

Georgia is not France or Germany. This U.S. is not going to open their markets in good faith, Georgia will be a pawn. They’re in a bad situation regardless",
674f2f6b5e8c5f1843d99807,"RT @AdameMedia: 🇨🇳🇩🇪Foreign Minister Baerbock arrives in China, pisses them off, and is coldly dismissed.

The joint press conference was c…",
674f2f6b5e8c5f1843d99808,"RT @MichaelAArouet: @andreslaley Deutsche Bahn and efficiency is an oxymoron. 

Last time I was in Germany I took a train. It was delayed b…",
674f2f6c5e8c5f1843d99809,@richardparke15 there's not really any rivalry with or dislike for Germany tbh,
674f2f6c5e8c5f1843d9980a,"My mom said I'm beautiful. But so far nobody has loved my picture 🥹😓💔
.
.
.
.
.
.
Ten Unknown Facts About #BMW
1. Founding and History: BMW, Bayerische Motoren Werke AG, was founded in 1916 in Munich, Germany, initially producing aircraft engines. https://t.co/NLkVapaCD8",
674f2f6c5e8c5f1843d9980b,"RT @ObserveLebanon: 🇩🇪 | 🇱🇧 German authorities arrested a Lebanese man, Fadel R., in Hannover for alleged membership in Hezbollah. He's sus…",
674f2f6c5e8c5f1843d9980c,RT @intermarium24: 🇩🇪🫂🇺🇦 Christmas tree in Berlin  - Germany stand with Ukraine 🫡 https://t.co/fkMNDpmTyu,
674f2f6c5e8c5f1843d9980d,"RT @realMaalouf: During a graduation ceremony in Germany, a Muslim woman refused to shake hands with the dean.

Shaking hands is ‘haram’, b…",
